text,label
今天的午餐was worth every dollar,正面
夜市的鹽酥雞服務態度很差,負面
他們的服務was worth every dollar,正面
The ramen here是我吃過最好的,正面
今天的午餐桌子油膩膩的,負面
他們的服務超乎期待,正面
這道甜點桌子油膩膩的,負面
The ramen here吃完肚子不舒服,負面
The ramen here份量很足又便宜,正面
外送的披薩價格貴又小份,負面
早餐店的蛋餅份量很足又便宜,正面
This caféis a waste of money,負面
夜市的鹽酥雞桌子油膩膩的,負面
這道甜點等了四十分鐘還沒來,負面
外送的披薩is amazing,正面
The ramen hereis amazing,正面
早餐店的蛋餅值得推薦給朋友,正面
這家店的牛肉麵超乎期待,正面
外送的披薩真的很好吃,正面
今天的午餐is amazing,正面
今天的午餐服務很親切，會再來,正面
這間咖啡廳完全不推薦,負面
他們的服務是我吃過最好的,正面
外送的披薩is amazing,正面
他們的服務was worth every dollar,正面
他們的服務等了四十分鐘還沒來,負面
今天的午餐was cold and bland,負面
夜市的鹽酥雞真的很好吃,正面
夜市的鹽酥雞跟照片差太多,負面
這家店的牛肉麵真的很好吃,正面
The ramen hereis amazing,正面
The ramen here是我吃過最好的,正面
夜市的鹽酥雞真的很好吃,正面
夜市的鹽酥雞份量很足又便宜,正面
夜市的鹽酥雞服務很親切，會再來,正面
This café吃完肚子不舒服,負面
今天的午餐服務態度很差,負面
早餐店的蛋餅份量很足又便宜,正面
這道甜點環境乾淨舒服,正面
The ramen here完全不推薦,負面
夜市的鹽酥雞was worth every dollar,正面
早餐店的蛋餅真的很好吃,正面
這道甜點服務很親切，會再來,正面
This café超乎期待,正面
這間咖啡廳價格貴又小份,負面
外送的披薩環境乾淨舒服,正面
這家店的牛肉麵值得推薦給朋友,正面
夜市的鹽酥雞服務很親切，會再來,正面
早餐店的蛋餅環境乾淨舒服,正面
This caféwas cold and bland,負面
外送的披薩價格貴又小份,負面
外送的披薩份量很足又便宜,正面
This café跟照片差太多,負面
外送的披薩超乎期待,正面
這間咖啡廳吃完肚子不舒服,負面
這間咖啡廳was cold and bland,負面
早餐店的蛋餅價格貴又小份,負面
這間咖啡廳超乎期待,正面
This café值得推薦給朋友,正面
外送的披薩is a waste of money,負面
今天的午餐is a waste of money,負面
這間咖啡廳份量很足又便宜,正面
早餐店的蛋餅完全不推薦,負面
這道甜點環境乾淨舒服,正面
他們的服務is amazing,正面
這道甜點環境乾淨舒服,正面
今天的午餐值得推薦給朋友,正面
這道甜點超乎期待,正面
這家店的牛肉麵真的很好吃,正面
夜市的鹽酥雞等一下就上菜了,正面
This café吃完肚子不舒服,負面
今天的午餐價格貴又小份,負面
夜市的鹽酥雞完全不推薦,負面
早餐店的蛋餅份量很足又便宜,正面
這間咖啡廳was worth every dollar,正面
The ramen here難吃到吃不完,負面
今天的午餐是我吃過最好的,正面
今天的午餐難吃到吃不完,負面
這道甜點等了四十分鐘還沒來,負面
今天的午餐is a waste of money,負面
外送的披薩值得推薦給朋友,正面
夜市的鹽酥雞跟照片差太多,負面
夜市的鹽酥雞was worth every dollar,正面
夜市的鹽酥雞was worth every dollar,正面
這間咖啡廳超乎期待,正面
This café價格貴又小份,負面
早餐店的蛋餅is amazing,正面
今天的午餐服務很親切，會再來,正面
夜市的鹽酥雞was worth every dollar,正面
今天的午餐is a waste of money,負面
This café服務很親切，會再來,正面
這道甜點等一下就上菜了,正面
早餐店的蛋餅服務很親切，會再來,正面
夜市的鹽酥雞was worth every dollar,正面
這道甜點值得推薦給朋友,正面
這間咖啡廳值得推薦給朋友,正面
外送的披薩是我吃過最好的,正面
這間咖啡廳價格貴又小份,負面
早餐店的蛋餅was worth every dollar,正面
他們的服務環境乾淨舒服,正面
This café環境乾淨舒服,正面
This café等一下就上菜了,正面
The ramen here是我吃過最好的,正面
今天的午餐服務很親切，會再來,正面
早餐店的蛋餅環境乾淨舒服,正面
夜市的鹽酥雞價格貴又小份,負面
The ramen here服務很親切，會再來,正面
The ramen herewas cold and bland,負面
This café份量很足又便宜,正面
夜市的鹽酥雞服務很親切，會再來,正面
今天的午餐份量很足又便宜,正面
夜市的鹽酥雞服務很親切，會再來,正面
他們的服務等一下就上菜了,正面
早餐店的蛋餅was cold and bland,負面
夜市的鹽酥雞桌子油膩膩的,負面
外送的披薩份量很足又便宜,正面
他們的服務服務態度很差,負面
This caféis a waste of money,負面
外送的披薩份量很足又便宜,正面
夜市的鹽酥雞吃完肚子不舒服,負面
The ramen here真的很好吃,正面
今天的午餐服務態度很差,負面
The ramen here跟照片差太多,負面
This caféwas cold and bland,負面
外送的披薩桌子油膩膩的,負面
他們的服務完全不推薦,負面
This café份量很足又便宜,正面
This café等一下就上菜了,正面
這道甜點等了四十分鐘還沒來,負面
The ramen here等了四十分鐘還沒來,負面
這家店的牛肉麵is amazing,正面
The ramen here桌子油膩膩的,負面
他們的服務is a waste of money,負面
這道甜點價格貴又小份,負面
The ramen here值得推薦給朋友,正面
早餐店的蛋餅was cold and bland,負面
夜市的鹽酥雞環境乾淨舒服,正面
