study_hours,attendance,sleep_hours,midterm,department,label
0.5,0.51,4.0,86,傳播,fail
8.6,0.32,8.5,68,企管,fail
9.8,0.56,8.2,53,設計,fail
8.9,0.75,7.4,81,設計,pass
9.4,0.53,6.7,52,資工,fail
5.5,0.34,8.7,53,傳播,fail
0.2,0.83,4.0,48,企管,fail
11.3,0.78,4.6,62,資工,pass
2.5,0.48,8.3,69,資工,fail
7.1,0.68,8.9,65,設計,fail
6.1,0.38,6.4,69,傳播,fail
5.8,0.82,5.0,73,設計,pass
11.0,0.92,8.6,64,企管,pass
10.2,0.9,7.5,64,傳播,pass
6.2,0.88,5.6,75,企管,pass
3.6,0.66,8.0,59,設計,fail
5.1,0.83,6.4,58,傳播,pass
11.0,0.8,6.9,72,資工,pass
2.0,0.32,7.0,40,傳播,fail
8.7,0.39,4.3,56,資工,fail
5.2,0.47,5.3,70,資工,fail
10.0,0.7,4.4,62,資工,pass
9.7,0.33,7.2,53,企管,fail
4.1,0.5,6.9,62,傳播,fail
3.6,0.69,6.4,76,傳播,pass
6.5,0.54,8.9,51,資工,fail
12.0,0.48,5.9,49,設計,fail
0.2,0.88,6.1,78,設計,pass
1.1,0.91,6.5,91,設計,pass
10.8,0.87,7.1,77,設計,pass
5.3,0.45,5.7,39,設計,fail
4.4,0.96,4.2,55,資工,fail
3.2,0.82,4.1,43,企管,fail
7.1,0.8,8.1,79,企管,pass
4.7,0.71,6.9,48,資工,fail
0.0,0.38,4.7,70,傳播,fail
9.9,0.58,6.8,53,企管,fail
1.4,0.92,7.4,49,企管,fail
0.9,0.76,5.6,63,傳播,fail
11.2,0.84,8.8,51,傳播,fail
5.3,0.74,7.1,80,企管,pass
8.6,0.9,7.3,56,設計,pass
4.4,0.92,5.4,59,資工,pass
10.0,0.42,4.9,78,設計,pass
10.8,0.38,8.3,83,傳播,pass
5.6,0.79,6.1,79,設計,pass
6.5,0.47,8.7,59,企管,fail
10.9,0.39,4.7,84,資工,pass
5.9,0.61,5.9,76,企管,pass
7.5,0.38,4.1,57,傳播,fail
6.9,0.77,7.4,86,傳播,pass
5.0,0.7,4.6,75,資工,pass
2.1,0.8,8.7,51,設計,fail
3.6,0.69,7.1,55,傳播,fail
0.2,0.99,8.7,70,企管,pass
5.0,0.84,7.3,76,企管,pass
1.5,0.49,5.7,84,企管,pass
4.5,0.74,8.7,71,傳播,pass
5.9,0.54,4.2,67,企管,fail
9.0,0.45,7.7,59,設計,fail
7.3,0.53,7.9,49,資工,fail
6.2,0.47,8.1,78,企管,fail
1.2,0.89,6.8,73,傳播,pass
6.2,0.69,9.0,66,傳播,pass
1.1,0.79,7.7,64,企管,fail
